20	100
1	6	25
2	12	66
3	16	23
4	21	24
5	24	39
6	32	27
7	36	98
8	40	67
9	52	53
10	54	4
11	76	16
12	81	64
13	83	98
14	85	96
15	88	81
16	91	73
17	94	78
18	95	29
19	98	80
20	99	84
1	3	19
1	6	34
1	9	58
1	12	94
1	15	108
1	16	104
2	1	46
2	4	47
2	5	36
2	10	82
2	13	85
2	16	88
2	17	91
2	18	96
3	8	57
3	10	49
3	12	84
3	13	106
4	10	44
4	12	82
4	18	80
5	4	22
5	17	88
5	18	79
5	20	93
6	2	53
6	4	19
6	19	93
7	8	36
7	10	102
7	15	64
7	16	65
8	1	60
8	4	56
8	6	46
8	9	26
8	12	47
8	19	64
9	3	56
9	4	48
9	8	28
9	16	50
10	3	51
10	9	58
10	13	108
11	3	68
11	7	96
11	9	51
11	10	34
11	12	55
11	19	77
11	20	77
12	2	76
12	3	84
12	5	69
12	7	64
12	10	73
12	11	58
12	17	25
12	18	44
12	20	36
13	6	93
13	9	63
14	8	61
14	9	64
14	12	40
14	16	28
14	17	29
15	4	95
15	5	84
15	11	71
15	17	16
16	2	85
16	4	90
16	7	67
16	8	57
16	10	84
16	15	17
17	9	58
17	14	28
17	15	15
17	19	11
17	20	12
18	5	78
18	10	57
18	12	42
18	14	72
18	19	61
18	20	63
19	3	104
19	4	105
19	5	90
19	15	16
19	17	10
20	1	119
20	6	94
20	9	64
20	12	36
20	13	31
20	14	28
2	13
